game	yearpublished	minplayers	maxplayers	minage	minplaytime	maxplaytime	comments	description
Jump Gate	2010	2	6	12	45	45	142	Explore far-away planets.  Discover what resources and surprises they hold. Be the first to set foot on a new planet and claim it as your own. Collect resources to gain fortune and fame. All of this comes courtesy of: the Jump Gate.&#10;&#10;Players are spaceship captains that are competing to be the best at claiming new planets and collecting the resources found at those planets.  Points are scored at the end of the game based on the number of planets they scanned and claimed, and their combination of resources collected.  Each type of resource has a different method for being scored -- so, collecting sets of the same resource is encouraged ... and disrupting other players&rsquo; collection plans is good strategy.&#10;&#10;Gameplay Summary (1st &amp; 2nd Editions)&#10;Eight planets are set in a circle around the Jump Gate and Black Hole Boards.  Resource cards are distributed:  1 face-up to each player, 1 face-up to each planet, and the rest are distributed face-down amongst the planets.&#10;&#10;Players are each given 5 NavComp cards and the rest of the NavComp cards are set as a draw deck in the middle of the table.  Each NavComp card contains 2 codes (used to take some of the standard actions) and possibly a special action.&#10;&#10;Players take turns around the table.  On a player's turn, he/she takes 2 actions in any order, and may select from the following actions:  Research (refill hand), Fly (move to neighboring planet), Jump (use the Jump Gate to move to another Planet), Scan (reveal a resource at a planet), Land &amp; Claim (claim a planet and reveal all resources there), Harvest (collect a resource), and Special Action.  Special actions include being able to scan a far-away planet, harvest extra resources, swap locations with another player, etc.&#10;&#10;When players &quot;Jump&quot;, they add one of their markers to the Jump Gate Board.  The player with the most markers on the Jump Gate Board at the end of the game gains an extra 5 points.  If a player collects a Resource that has a &quot;Black Hole&quot; icon on it, a marker is added to the Black Hole Board.  If too many markers get added to that board, the game ends and the player with the most markers on the Black Hole Board loses some of his/her collected Resources.  The game can also end when all non-Black-Hole Resources have been collected from all of the planets.&#10;&#10;Scoring is done at the end of the game, and players are awarded points for Scanning and Claiming Planets, as well as for the combination of Resources they had collected.  Each type of Resource has a different method for scoring -- but all encourage a player to collect as much of that Resource as possible.  The player with the most total points is the winner.&#10;&#10;3rd Edition Gameplay Changes&#10;The 3rd Edition, published in a smaller box with artwork and player component updates, also included a number of design changes:&#10;&#10;    Max. Players is reduced to 5&#10;    New &quot;Sand&quot; resource replaces the &quot;Nothing&quot; cards from earlier editions&#10;    Setup changes include giving players two or three hidden resource cards (as opposed to a single face-up card) and not every resource getting used in the game&#10;    In-game changes include cleaner, more thematic scanning and harvesting rules&#10;    The Black Hole only has 7 marker spaces on it, and triggering the end game via the Black Hole results in the player with the most markers on the Black Hole losing their hidden resources they received during setup instead of randomly-chosen resources&#10;    No points are scored for scanning or the Jump Gate ... only the resources collected and Planets claimed&#10;&#10;&#10;&#10;&#10;
Jupiter Rescue	2013	2	7	15	30	60	296	You're a team of lowly maintenance robots built to keep the space station operational and clean so that the colonists can get on with...whatever it is they do. Unfortunately, the station has been invaded by creeps, alien creatures that slowly advance toward food (the colonists) so that they can multiply. The only thing keeping the colonists from being completely wiped out is your knowledge of the station, a couple of specialty tools and abilities unique to each of you, and a little bit of problem-solving code installed so you could do your jobs efficiently.&#10;&#10;Jupiter Rescue is a co-operative strategy game in which players work together to escort 28 colonists to an escape pod before they're converted into alien creeps. Each turn, players may take five actions, choosing from common options &mdash; moving themselves, moving nearby colonists, or killing alien creeps &mdash; and a series of programming cards that grant them special abilities. These cards can be played on the player's turn to activate the ability. Each player also gets to choose one card to be his &quot;core&quot; ability, letting him use it every turn instead of discarding it.&#10;&#10;New creeps are added to the board, which is composed of tiles, at the end of each player's turn by rolling a die; if a tile fills up with creeps, it's destroyed and removed from the game. Players lose if enough colonists get turned into creeps, or if certain key board tiles are all destroyed. Double-sided tiles allow for hundreds of station variations.&#10;&#10;
Kill Doctor Lucky	1996	3	8	12	45	45	5432	In this notorious game, an inversion of Clue, you hate Doctor Lucky. Maybe he left you out of his will. Maybe he killed your pet rock. Whatever the reason, you want him dead. Unfortunately, so do the other players. Since you don't want to go to jail, you need to make your attempt in secret; if anybody can see you, whistle nonchalantly, and let the Doctor live ... until next time.&#10;&#10;Players move around the mansion, collecting murder weapons (to make the murder attempt stronger - doubly so if the weapon is used in an appropriate location); failure cards (to thwart opponents' plans); and movement cards (to try to get together with Doctor Lucky in a secluded location for his inevitable demise.) Players try to convince others to use up their failure cards first, the better for when their own attempts come.&#10;&#10;
Kingdom Death: Monster	2015	1	6	17	60	180	2107	Kingdom Death: Monster is a fully cooperative tabletop hobby game experience.  Set in a unique nightmarish world devoid of most natural resources, you control a settlement at the dawn of its existence. Fight monsters, craft weapons and gear, and develop your settlement to ensure your survival from generation to generation.&#10;&#10;Campaign System&#10;Embark alone or with up to 3 friends (5 with game variant) on a 5-30-lantern-year campaign, with each year consisting of a cycle of hunt, showdown, and settlement phases. The settlement phase is an intricate civilization building game in which you spend very limited resources to build buildings, research new technologies, train your warriors, and set up your strategy for survival.  During the hunt, you'll encounter a series of stories in a &quot;choose your own adventure&quot; style journey through various events and encounters.  Finally, when you meet the monster you're pursuing, you'll engage it in an a massive arena-style battle where only one party is going to survive.  If your party lives, you'll be able to bring the spoils back home to use in expanding your settlement.&#10;&#10;Monster AI System&#10;Each of the 7 monsters included are controlled by their own pair of decks that scale to 3 levels of difficulty (except for the final encounter, which has only 1 level and it's HARD!). Every encounter, even with the same monster, is highly variable and no two showdowns will resolve the same way. Players will have to plan their gear and keep their minds sharp to prevail.&#10;&#10;Gear System&#10;In Kingdom Death: Monster, survivors will craft gear from resources earned from defeating monsters or found on their hunt. Each survivor has a 3x3 gear grid. Selection and arrangement of your gear cards is critical, as many provided bonuses and activate special rules when aligned correctly.&#10;&#10;Story Event System&#10;40+ Story Events plus over 100 hunt encounters will shape and guide your campaign. Story Events detail important evolutions in your civilization, introduce new monsters, and provide rich detail for your campaign.  Some will trigger automatically as you progress through the campaign, but most will be entirely based on choices players make.&#10;&#10;Story Events cover everything from setting up and fighting a monster to key events that happen within the overall story. Some are triggered directly from the timeline and others from choices you make in game.&#10;&#10;
Kittens in a Blender	2011	2	4	8	30	30	1359	From the Designers:&#10;You are twisted.  I can&rsquo;t believe you actually want to put these adorable kittens in a blender! I guess that&rsquo;s none of my business. Maybe you&rsquo;re more of a dog person. Sure, kittens are curious by nature, but when they get in a kitchen full of dangerous appliances, it is up to you to save them.&#10;&#10;This fast-paced card game has players working to save all of their own kittens before the unthinkable happens. But sometimes the only way to save your precious litter of kittens is to let those curious little cats learn the lesson of why you should never play in a Blender!&#10;&#10;According to the box: A portion of the proceeds will be donated to a no kill cat shelter.&#10;&#10;Objective:&#10;Save your kittens and send your opponents' kittens to The Blender.&#10;&#10;Setup &amp; Play:&#10;Put the game box top on the table, open-side up and place the oversized Blender card inside, face-up: that's The Blender. Place the oversized Box card face up in the base of the box: that's The Box. Leave a little space between The Blender and The Box: that's The Counter.  Assign each player a Kitten color (red, green, blue or yellow), shuffle the deck, deal each player 6 cards and it's time to start saving adventurous kittens.&#10;&#10;On each turn, players play two cards and then draw back up to 6. Kitten cards may be played into The Blender, The Counter or The Box.  All other cards are played face up in front of the player so that all players can see which cards have been played.&#10;&#10;Players can play Kitties on the Move to move kittens to or from The Blender, The Counter or The Box; the number on the card specifies the number of kittens that can each be moved 1 space. Playing a Blend card will destroy the kittens currently in The Blender, save the kittens in The Box, and move the kittens on The Counter into The Blender unless countered by another player's Blend &quot;Pulse&quot; card.&#10;&#10;Players can move kittens around with other cards as well. Kittens in the Blender moves all of the kittens on The Counter or in The Box to The Blender. With These Cats in the Blender a player can move all cats of a chosen color from The Counter and The Box to The Blender. Kittens in the Box moves all kittens in The Blender or on The Counter to The Box, while Cats on the Counter moves all the kittens in The Blender or The Box to The Counter.&#10;&#10;Total chaos reigns when the Dog's in the Kitchen as each player gives her hand to the player in the direction indicated on the card.&#10;&#10;The game ends when all 16 of the Blend cards have been played. Saved kittens are worth 2 points each, blended kitties cost 1 point each. Highest score wins.&#10;&#10;Contents: 1 oversized Blender card, 1 oversized Box card, 110 playing cards (64 Kittens: 16 in each of 4 colors - red, green, blue and yellow; 18 Kitties on the Move: 6 of each number; 16 Blends: 8 Regular Blend &amp; 8 Blend Black; 4 Dogs in the Kitchen: 2 left &amp; 2 right; 2 Kittens in the Blender; 2 Your Cats in the Blender; 2 Cats on the Counter; 2 Kittens in the Box), rules.&#10;&#10;
Leaving Earth	2015	1	5	0	60	180	888	The year is 1956.  Mankind stands at the dawn of a new age, the Space Age, when the flying bombs of yesteryear will become the rocket ships of tomorrow.  As the director of a national space program, your country is depending on you for success in this great contest.  You may be the first to create an artificial satellite, send a probe to another planet, or even put a man on the moon.&#10;&#10;Leaving Earth is a game about planning and about managing risk.  With even a single grand journey into outer space, you might claim victory in the game.  Consequently, it is your job to plan each journey carefully, finding the cheapest, quickest, and safest ways to reach your objective&mdash;but do not spend too long preparing, or another nation might reach its goal before you.&#10;&#10;On your turn, you will be conducting research, building spacecraft, and directing journeys into outer space. To conduct research, you buy an advancement that begins with certain flaws, then you test the advancement to find and eliminate those flaws.  To build a spacecraft, you purchase components and assemble them into a whole. To travel to outer space, you expend rockets to maneuver from one location to another.&#10;&#10;Links: frequently asked questions, where to buy&#10;&#10;
Legends of Andor	2012	2	4	10	60	90	8314	Game description from the publisher:&#10;&#10;Legends of Andor is a cooperative adventure board game for two to four players in which a band of heroes must work together to defend a fantasy realm from invading hordes. To secure Andor's borders, the heroes will embark on dangerous quests over the course of five unique scenarios (as well as a final scenario created by the players themselves). But as the clever game system keeps creatures on the march toward the castle, the players must balance their priorities carefully.&#10;&#10;At the heart of Legends of Andor is its unique narrative, the linked scenarios of which tell an overarching story as the players successfully complete objectives. For each scenario, or &quot;Legend&quot;, a legend deck conveys the plot of an ever-unfolding tale...one in which the players are the protagonists. A wooden marker moves along the board's legend track at key points during each scenario, triggering the draw of a new legend card, the introduction of new game-altering effects, and the advancement of the story's plot. In the end, the players must endeavor to guide the fate of Andor through their heroic actions, bringing a happy ending to their epic fantasy tale.&#10;&#10;Will their heroes roam the land completing quests in the name of glory, or devote themselves to the defense of the realm? Uncover epic tales of glory as you live the Legends of Andor!&#10;&#10;
Level 7 [Omega Protocol]	2013	2	6	14	60	90	1496	Game description from the publisher:&#10;&#10;LEVEL 7 [Omega Protocol] picks up right where LEVEL 7 [ESCAPE] left off. The Subterra Bravo facility has been thrown into chaos through the players actions in [ESCAPE], and now the government has sent in a top-secret, highly-trained special forces unit to shut down the facility and eliminate everything remaining in the base.&#10;&#10;In [Omega Protocol], one player takes on the role of the Overseer while two to five other players take on the role of the elite Special Ops team. The Overseer's role in the game is to control all of the alien denizens and challenges the players face throughout the game. The players are trying to achieve specific scenario-based objectives by exploring a map that's laid out at the start and fighting off the hordes of aliens that the Overseer sends their way.&#10;&#10;Gameplay is based around adrenaline, which is the currency that the soldier players use to perform actions. They generate adrenaline to do things such as move, attack, and perform special actions like activating an objective space. That generation also has a negative effect for them, as that adrenaline transfers to the Overseer player, who then uses it to spawn aliens, create new threats, and hurt the soldiers' chance of success during the scenario. The more actions the Special Ops players take, the more resources the Overseer player has to work with.&#10;&#10;Characters in [Omega Protocol] are represented by miniatures, and each Special Ops and alien character has different attributes, powers, and customizable skills and equipment.&#10;&#10;
Libertalia	2012	2	6	14	45	45	9251	Game description from the publisher:&#10;&#10;Captain Swallow has always dreamed of pocketing a large nest egg in order to retire on a remote island &ndash; but he never counted on stiff competition from Captains Stanley Rackum, Dirk Chivers and others, greedy and cruel enemies who always manage to attack the same ships as him. If he wants to finally sink back and enjoy peaceful days in the sun, he must become the most cunning pirate!&#10;&#10;In Libertalia, you must thwart the plans of competitive pirates over the course of three rounds while using cards that show the same crew members as your piratical comrades-in-arms. Yes, not only do they attack the same ships, but they employ the same type of ravenous scum that you do! Can you take advantage of the powers of your characters at the right time? Will you be outdone by a pirate smarter than you? Jump into the water and prove your tactical skills!&#10;&#10;
Lifeboats	1993	3	6	12	90	90	3049	Also known as 'Rette Sich Wer Kann' ('Each Man for Himself') and often times referred to as 'The Lifeboat Game,' this pure negotiation game puts a different spin on the typical ocean catastrophe.  There's been a boating accident, and a rag-tag group of six lifeboats is trying to make its way to one of several islands just over the horizon.  However only one boat will make any forward progress in a given turn, so players try to convince everyone to vote for his particular favorite.  To further complicate matters, the sailors can't seem to decide which boat they want to be in, so they're constantly jumping out of boats to swim to another one.  As if all that wasn't enough, one of the boats springs a leak each turn.  If the boat is at maximum occupancy when the leak occurs, then players vote to decide who to toss to the sharks!&#10;&#10;
Lord of the Rings	2000	2	5	12	60	60	12081	This game should not be confused with Reiner Knizia's children's game (Lord of the Rings) with the same title, or with his very different two-player Lord of the Rings: The Confrontation.&#10;&#10;Lord of the Rings is a co-operative game where the object is to destroy the Ring while surviving the corrupting influence of Sauron. Each player plays one of the Hobbits in the fellowship, each of which has a unique power. The game is played on a number of boards: the Master board indicates both the physical progress of the fellowship across Middle Earth and the corrupting influence of Sauron on the hobbits, and a number of scenario boards which detail the events and adventures of particular locations. Progression across the boards is determined by playing cards (many of which represent the characters and items of Middle Earth), and the effects of corruption are represented by a special die. The game is lost if the ring-bearer is overcome by Sauron, or won if the ring is destroyed by throwing it into the volcanic fires of Mount Doom.&#10;&#10;Lord of the Rings - Limited Edition&#10;&#10;A special edition limited to 500 copies in the English language and 250 in German published by Sophisticated Games and Kosmos in November 2001. The Limited Edition has a silver 22 carat gold plated ring, pewter Hobbit playing pieces, and a signed and numbered John Howe print. Box signed by Reiner Knizia.&#10;&#10;
Lords of the Sierra Madre (second edition)	1995	2	8	14	240	240	130	The setting is northern Mexico starting in 1898 where an economic boom, a dictator who welcomes foreign investment and wide-open land set the stage for one of the greatest capitalist free-for-alls in history. Each player is an hacendado. These entrepreneurs vie to build the largest empire of railroads, mines, ranches and other businesses. They may employ banditos, strikers and other sneaky maneuvers to tax, bribe, raid and destroy their opponents, often employing police, federal troops, even the US Army. They may even get themselves elected to the governor's office or the presidency itself (a crime in Mexico).&#10;&#10;
Lords of Waterdeep	2012	2	5	12	60	120	30339	Game description from the publisher:&#10;&#10;Waterdeep, the City of Splendors &ndash; the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In this game, the players are powerful lords vying for control of this great city. Its treasures and resources are ripe for the taking, and that which cannot be gained through trickery and negotiation must be taken by force!&#10;&#10;In Lords of Waterdeep, a strategy board game for 2-5 players, you take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder &ndash; or help &ndash; the other lords by playing Intrigue cards to enact your carefully laid plans.&#10;&#10;During the course of play, you may gain points or resources through completing quests, constructing buildings, playing intrigue cards or having other players utilize the buildings you have constructed.  At the end of 8 rounds of play, the player who has accrued the most points wins the game.&#10;&#10;
Love Letter	2012	2	4	10	20	20	38162	All of the eligible young men (and many of the not-so-young) seek to woo the princess of Tempest. Unfortunately, she has locked herself in the palace, and you must rely on others to take your romantic letters to her. Will yours reach her first?&#10;&#10;Love Letter is a game of risk, deduction, and luck for 2&ndash;4 players. Your goal is to get your love letter into Princess Annette's hands while deflecting the letters from competing suitors. From a deck with only sixteen cards, each player starts with only one card in hand; one card is removed from play. On a turn, you draw one card, and play one card, trying to expose others and knock them from the game. Powerful cards lead to early gains, but make you a target. Rely on weaker cards for too long, however, and your letter may be tossed in the fire!&#10;&#10;Number 4 in the Tempest: Shared World Game Series&#10;&#10;
Manhattan	1994	2	4	10	45	45	3759	In Manhattan, players construct a skyline of skyscrapers over several districts, or city blocks, of Manhattan Island. Ultimately, each player seeks to have built the tallest buildings in the most city blocks of the Island.&#10;&#10;Each turn, players will play a card that illustrates which part of a city block they may place a &quot;floor&quot; on a building. The placement card is unique for each player in that the section they may place in is relative to their seating at the table. The player who has placed the top most floor controls that building. Each round, scores are tallied based on control of each of the neighborhoods.&#10;&#10;At the end of the game, the player who has scored the most points through area control and tallest buildings wins.&#10;&#10;Note: In the Finnish edition, the districts are named after six great cities of the world: Hong Kong, Sao Paulo, Cairo, Sydney, Frankfurt and Manhattan.&#10;&#10;
Serenissima (first edition)	1996	2	4	12	120	120	2109	The Theme&#10;&#10;In the fourteenth century, the Atlantic was an ocean without end and America was yet to be discovered. The Mediterranean was a sea of great prosperity - the only route between East and West. The greatest fleets of the age battled for the most lucrative trade routes.&#10;&#10;Trade cities like Venice, Genoa, Barcelona or Istanbul grew as powerful as whole nations, establishing trade routes as far as North Africa or Middle East, bringing back Spice, Gems or Gold to the western Mediterranean. SERENISSIMA recreates this era, when the Mediterranean was at the centre of world trade.&#10;&#10;The Game&#10;&#10;Each players assume the role of one of those four city-states. Their goal is to establish their sphere of influence in the Mediterranean, and share all sorts of commodities to make their trading empire the most prosperous. In the course of a game, players must build galleys, hire crew and buy/sell commodities. The value of goods can be influenced by players having monopolies in certain commodities. Players can also take control of ports, thereby earning extra income from players using the port, as well as being able to get this port's specific commodity.&#10;&#10;In the end, the scoring is based on the number of ports each player control, but also on the fact that those ports have commodities of different kind available. Ports come in three types : small, medium, and city-states. Whereas small ports are quite easy to satisfy (they need only two commodities to be considered &quot;full&quot;), the four starting city-states are far more difficult to please, as they will need all kind of commodities available (6 additional commodities, plus the one they produce).&#10;&#10;During the course of the game, the number and type of commodities available in ports also controls the number of crew members you can hire, if you can build galleys or forts, and the price of commodities when you sell them. For example, a player won't be able to build new galleys until they have wood and iron available in one of the ports they control. Once a galley has been built, it has 5 spaces available, that can be filled by the crew or the goods. Every crew member allows movement through one space, and makes the galley more powerful. But those spaces are also needed to carry the goods that are worth money. Money that can be used to hire new crews, build new galleys, or commodities. A balance thus needs to be struck between trading commodities and taking control of ports - between a fleet of merchant galleys and a fleet of warships.&#10;&#10;The game lasts between 5 to 8 turns depending on the number of active players. Turn order is defined by bidding. The winner of the bid choose whether he will play first, second, third or last. Depending on the situation and what the player wants to do, playing first or last might be equally interesting. For example, by playing first, a player would be unable to react to other players move, but he could avoid having his galleys blockaded.&#10;&#10;
Memoir '44	2004	2	6	8	30	60	19977	Memoir '44  is a historical boardgame where players face-off in stylized battles of some of the most famous historic battles of World War II including Omaha Beach, Pegasus Bridge, Operation Cobra and the Ardennes.&#10;&#10;Memoir '44 includes over 15 different battle scenarios and features a double-sided hex game board for both beach landings and countryside combat. Each scenario mimics the historical terrain, troop placements and objectives of each army. Commanders deploy troops through Command and Tactic cards, applying the unique skills of his units -- infantry, paratrooper, tank, artillery, and even resistance fighters -- to their greatest strength.&#10;&#10;&quot;By design, the game is not overly complex&quot;, says Memoir '44 designer, Richard Borg. &quot;The game mechanics, although simple, still require strategic card play, timely dice rolling and an aggressive yet flexible battle plan to achieve victory.&quot; In addition to the large, double-sided gameboard, Memoir '44 includes 144 amazingly detailed army miniatures - including historically accurate infantry, tanks and artillery; 36 Obstacle pieces, 60 illustrated Command cards, 44 Special Terrain tiles, and 8 Custom Wooden dice.&#10;&#10;Memoir '44 is designed for 2 players but easily accommodates team play. And with Memoir '44 Overlord scenarios, players can use multiple boards and up to 8 players to conduct large scale operations, experiencing the challenges of troop coordination and military chain of command on a large scale battlefield. Average game length is between 30 and 60 minutes, encouraging match play where players can command first one side and then the other.&#10;&#10;The Memoir '44 series consists of the base game and a number of expansions.&#10;&#10;This game is based upon Richard Borg's Command and Colors system.&#10;&#10;
Merchant of Venus	1988	1	6	12	180	180	2445	Merchant of Venus makes players take on the roles of space traders chasing wealth and fortune. Each player moves their ship through interconnected systems on a fixed map, discovering new alien worlds to trade with. As players start to make money delivering commodities, their earnings can be used to purchase equipment and construct their own infrastructure. The player who first acquires enough total value in cash and port/factory deeds wins the game.&#10;&#10;The game uses a basic roll-and-move mechanism for movement, but modifies it with engine ship upgrades that let the players skip certain spaces during movement. When players reach cities and spaceports, they can buy and sell commodities. Different species are randomly distributed throughout the universe at the start of the game, and players will only uncover which species lives where through exploration in the course of the game - the layout of which species lives where works to offset the rigidity of the fixed map by making different routes through the map profitable each game.&#10;&#10;The prices a player receives for selling their cargo is determined by the species that lives in the system, and what commodities a port offers for purchase is determined by a unique and dynamic supply-and-demand mechanism. With their money, players can replace their spaceships with better models, or build factories (which create better commodities) and spaceports (which speed up trading). They can also buy upgrades for their ships (like shields, lasers, or engines).&#10;&#10;Variations included in the rulebook allow for interplayer combat and solo play, and the exact target wealth players have to acquire in order to win is decided on before each play.&#10;&#10;
Merchants & Marauders	2010	2	4	13	180	180	9927	Merchants &amp; Marauders lets you live the life of an influential merchant or a dreaded pirate in the Caribbean during the Golden Age of Piracy. Seek your fortune through trade, rumor hunting, missions, and of course, plundering.  Modify your ship, buy impressive vessels, load deadly special ammunition, and hire specialist crew members. Will your captain gain eternal glory and immense wealth - or find his wet grave under the stormy surface of the Caribbean Sea?&#10;&#10;In Merchants and Marauders, players take on the role of a captain of a small vessel in the Caribbean.  The goal is to be the first to achieve 10 &quot;glory&quot; points through performing daring deeds (through the completion of missions or rumors), crushing your enemies (through defeating opponents and NPCs in combat), amassing gold, performing an epic plunder or pulling off the trade of a lifetime, and buying a grand ship.  While some points earned from performing various tasks are permanent, players earn points for amassing gold, which can be stolen or lost (or at least diminished) if their captain is killed.  Points due to gold are hidden so there's some uncertainty about when the game will end.&#10;&#10;A big component of the game is whether (or when) to turn &quot;pirate&quot; or remain as a trader or neutral party. Both careers are fraught with danger: pirates are hunted by NPCs (and other players) for their bounty and blocked to certain ports while traders are hunted by non-player pirates as well as their opponents and generally have to sacrifice combat capability for cargo capacity.  Although players can kill each other, there is no player elimination as players may draw a new captain (with a penalty) so it's possible to come back from defeat.&#10;&#10;
Merchants of Amsterdam	2000	3	5	10	60	60	1446	Players are attempting to be in first or second place majorities in a variety of categories throughout the game.  These include commodity markets, trading colonies, and warehouses in Amsterdam.&#10;&#10;On a player's turn, that player draws three cards and decides how to resolve them for the turn.  A player can either remove the card from the game, keep it for him or herself, or put it up for auction.  The cards allow players to advance or place one of their markers in the various categories.&#10;&#10;There are also time-marker cards which, when drawn, move the game through various &quot;historical&quot; phases until the last which ends the game.  The historical phases follow a period of time in the history of Amsterdam which can range from no effect, to scoring rounds for particular categories, to bonuses, and towards the end of the game to some penalties as wars begin to disrupt business markets.&#10;&#10;The unique twist in the game is that the game comes with a spring-driven auction clock to perform the Dutch auctions throughout the game.  You start the clock and it ticks down as all of the players hold their hands ready close by.  The idea is that as time passes the cost of the card lowers and it is simply an issue of who will pay for it first by slapping down on the clock and thus stopping it at a certain price.&#10;&#10;
Mice and Mystics	2012	1	4	7	120	120	11312	Game description from the publisher:&#10;&#10;In Mice and Mystics players take on the roles of those still loyal to the king &ndash; but to escape the clutches of Vanestra, they have been turned into mice! Play as cunning field mice who must race through a castle now twenty times larger than before. The castle would be a dangerous place with Vanestra's minions in control, but now countless other terrors also await heroes who are but the size of figs. Play as nimble Prince Collin and fence your way past your foes, or try Nez Bellows, the burly smith. Confound your foes as the wizened old mouse Maginos, or protect your companions as Tilda, the castle's former healer. Every player will have a vital role in the quest to warn the king, and it will take careful planning to find Vanestra's weakness and defeat her.&#10;&#10;Mice and Mystics is a cooperative adventure game in which the players work together to save an imperiled kingdom. They will face countless adversaries such as rats, cockroaches, and spiders, and of course the greatest of all horrors: the castle's housecat, Brodie. Mice and Mystics is a boldly innovative game that thrusts players into an ever-changing, interactive environment, and features a rich storyline that the players help create as they play the game. The Cheese System allows players to hoard the crumbs of precious cheese they find on their journey, and use it to bolster their mice with grandiose new abilities and overcome seemingly insurmountable odds.&#10;&#10;Mice and Mystics will provide any group of friends with an unforgettable adventure they will be talking about for years to come &ndash; assuming they can all squeak by...&#10;&#10;&#10;&#10;Expansion advice:&#10;&#10;For those who have expansions for this game the recommended order by the game designer for playing them is as follows (see original post HERE):&#10;&#10;        Sorrow and Remembrance (Base game)&#10;        Cat's Cradle (Lost Chapter 1)&#10;        Heart of Glorm&#10;        The Ghost of Castle Andon (Lost Chapter 2)&#10;        Downwood Tales&#10;        Portents of Importance (Lost Chapter 3), connected to the story in Tail Feathers&#10;    &#10;&#10;&#10;&#10;&#10;
Mission: Red Planet (Second Edition)	2015	2	6	14	45	90	4605	With technology rapidly developing and the human population growing, Victorian-era Earth is in dire need of fuel, land, and other natural resources. Fortunately, automated probes sent to Mars have discovered celerium, an ore that can be combusted to produce ten thousand times more power than a steam engine, and sylvanite, the densest substance ever found. More incredibly, the probes found ice that could be used in terraforming the planet, bringing the idea of colonizing Mars even closer to becoming a reality.&#10;&#10;As the head of a mining corporation, these minerals and ice found on Mars could make you unfathomably wealthy &ndash; if you can reach them before your competitors. You have ten rounds to send your astronauts into space, occupy the planet's most resource-rich zones, and harvest as much celerium, sylvanite, and ice as possible. At your command is a team of nine professionals. Each has a unique skill set, from helping your astronauts traverse the Red Planet to blowing up spaceships before they launch.&#10;&#10;In each round in Mission: Red Planet, players start by secretly deploying one of their character cards, with this card determining both when they place astronauts on the spaceships awaiting launch to Mars and which special action they take during the round. Each spaceship has a specified destination, and until an astronaut sets foot in a region, no one knows which resource they'll find. Players collect resources (worth points) three times during the game, and they each have a secret mission card that might grant them additional points at game's end. During the game, players might acquire an additional mission or a research card that changes the value of what awaits on Mars.&#10;&#10;The 2015 edition of Mission: Red Planet features the same gameplay as the original 2005 edition, but it includes:&#10;&#10;&#10;    Components for up to six players instead of five&#10;    Special two-player variant rules&#10;    New action cards and revised mission and discovery cards&#10;    Mars' moon Phobos as a new zone that astronauts can explore before possibly returning to the planet itself&#10;&#10;&#10;
Modern Art	1992	3	5	10	45	45	11697	Buying and selling paintings is a very lucrative business, at least that's what Hollywood's led us to believe, and that's the premise of this game.  Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles.  He does this by putting a painting from his hand up for auction each turn.  He gets the money if some other player buys it, but must pay the bank if he buys it for himself.  After each round, paintings are valued by the number of paintings of that type that were sold.  The broker with the most cash after four rounds is the winner.&#10;&#10;Part of the Knizia auction trilogy.&#10;&#10;
